frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194117,194117,0,0,0,5.778141000064352,0.0,0.0,0.0,0.0,0.1000710001335392,0.20832900008826982,26.200280000011844,22.435799000049883,55.93434599995817,113.59749999996893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192570,192570,27278,0,0,13.307530000020051,0.0,0.0,0.0,0.0,0.18394199992144422,0.6251259999316972,48.95025799987707,32.29612600011933,5.944479999925534,105.54864300002009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,190727,190727,59131,0,0,7.881593000092835,0.0,0.0,0.0,0.0,0.11332700000821205,0.3874209999139566,39.901562000068225,36.05161899986342,5.50994700006413,92.74586800006546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,175249,175249,94202,0,0,5.982370999845443,0.0,0.0,0.0,0.0,0.09436099981030566,0.32316800002263335,64.46271600020737,52.06233000012617,5.637230999809617,131.3117049999164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,161148,161148,172394,0,0,6.6265529999327555,0.0,0.0,0.0,0.0,1.6091669999696023,0.3482759998405527,66.06081199993241,52.978562999896894,6.522252999957345,136.88164799987135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,143590,143590,255202,0,0,4.595057999949859,0.0,0.0,0.0,0.0,0.09028199997374031,0.32112400003825314,82.84177599989562,58.57121899998674,5.925231999981406,155.2445469999384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,119612,119612,340988,0,0,6.007769999996526,0.0,0.0,0.0,0.0,0.07247899998219509,0.30656600006295776,53.447128000016164,58.304967999902146,6.229434000033507,126.84323899998162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,114588,114588,431624,0,0,3.8074520000463963,0.0,0.0,0.0,0.0,0.06476399994426174,0.27819199999612465,54.62067300004492,47.028954000097656,6.35065599999507,114.56479699995725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,114987,114987,507226,0,0,3.3466410000073665,0.0,0.0,0.0,0.0,0.06474399992839608,0.2778809998744691,67.74411200012764,40.512186999876576,6.50716499990267,120.85849099980805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,115285,115285,589564,0,0,5.538552999951207,0.0,0.0,0.0,0.0,0.07835000019440486,0.37323399988054007,87.58368999997401,69.82529800006887,6.634368000050017,172.38734399984423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,113979,113979,671155,0,0,3.3234859999993205,0.0,0.0,0.0,0.0,0.06609599995499593,0.2673020001111581,27.166513999873132,54.33412200000021,6.683712000040032,94.3772830000853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,114955,114955,739871,0,0,3.298407999864139,0.0,0.0,0.0,0.0,0.07519300015701447,0.27846300008604885,48.06752600006803,57.55828799988194,6.838429000026736,118.45409900001869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12,114678,114678,817583,0,0,3.301332999853912,0.0,0.0,0.0,0.0,0.06366200000229583,0.29113699997651565,51.48088600003575,53.235260000064955,7.407776000036392,118.16937399999006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,114586,114586,884784,0,0,3.3349979999002244,0.0,0.0,0.0,0.0,0.06355100003929692,0.2846339998541225,70.11510300003465,44.58960600004502,7.405642999856354,128.15365899996323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
14,114811,114811,943892,0,0,3.282557999909841,0.0,0.0,0.0,0.0,0.06818999986535346,0.300684999956502,48.40802800003985,52.30372799996985,7.272697999951561,114.04386399999566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15,115008,115008,1002417,0,0,4.093940000075236,0.0,0.0,0.0,0.0,0.06830000006630144,0.32996100003401807,56.47584700000152,49.03163099993435,7.99348700002156,120.45529500005614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
16,114908,114908,1067387,0,0,3.4816489999229816,0.0,0.0,0.0,0.0,0.1106920001348044,0.3665609999643493,66.59158200000093,44.34804100014844,10.160761999941315,127.51559399998769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,114629,114629,1131782,0,0,3.4131380000417266,0.0,0.0,0.0,0.0,0.06883199989715649,0.30545399999937217,81.08406499991361,41.46888500008572,10.534727000049315,139.28160199998274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18,114638,114638,1189747,0,0,3.326662000063152,0.0,0.0,0.0,0.0,0.06768899993403465,0.3080890001001535,56.82363999994777,42.97206899991579,9.493535000046904,115.40047199991932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
19,114769,114769,1239850,0,0,4.183589999911419,0.0,0.0,0.0,0.0,0.0706450000507175,0.4524949999904493,56.51586099997985,96.43578400005026,8.003947000133849,168.13596399993003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
