frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,192786,192786,0,0,0,5.7802429996627325,0.0,0.0,0.0,0.0,0.12239400030011893,0.21283600017341087,41.64157700006399,34.30223699979251,46.2030449998565,131.21921599986308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,190948,190948,34989,34989,34989,14.751537999927677,0.008135999905789504,0.006513000244012801,673.5804360000657,97.5928070001828,774.6657600000617,0.27380300025470206,58.274204999634094,30.184797999936563,5.586903999756032,887.7503290000277,,,,,,,,,,,
2,187120,187120,55900,55900,55900,10.626844999933382,0.0027749997570936102,0.0014930001270840876,676.2564450000355,105.8349999998427,785.9402220001357,0.22648300000582822,44.18709499987017,36.63327599997501,5.595771000116656,886.0838880000301,,,,,,,,,,,
3,177130,177130,89593,89593,89593,5.055119000189734,0.002335000317543745,0.0013130002116668038,1162.6698530003523,116.09338899961585,1282.4692469998809,0.24390599992329953,51.33499800012942,35.99881499985713,5.582285999935266,1383.4885220003343,,,,,,,,,,,
4,139893,139893,125741,125741,120000,4.288796000309958,0.002254000264656497,3.280741999788006,1263.7739679998958,140.49664800040773,1411.6547999997238,0.29273900008774945,52.203565999661805,37.24055299971951,5.679881000105524,1513.9354319999256,,,,,,,,,,,
5,128673,128673,170425,170425,120000,3.5971660004179284,0.0020140000742685515,3.290692000064155,1198.771244999989,139.7397590003493,1345.927882000069,0.3297399998700712,47.498884000106045,32.41161599999032,5.880434999653517,1438.1046149997019,,,,,,,,,,,
6,122413,122413,196011,196011,120000,6.202088000009098,0.0029060001907055266,3.637744000116072,1223.8732260002507,157.75520400029563,1388.914207000198,0.22755400004825788,45.058364999931655,38.81568899987542,5.816221999793925,1487.4199079999926,,,,,,,,,,,
7,113968,113968,292840,292840,120000,4.2500019999351935,0.0041380003494850826,5.893408999781968,2117.9968749997897,141.76646999976583,2269.651208000141,0.28740899961121613,54.99355600022682,39.03699099964797,5.940007999925001,2376.6681920001247,,,,,,,,,,,
8,115096,115096,351148,351148,120000,5.077291000361583,0.003456000285950722,6.026963999829604,2036.050877999969,144.0806830000838,2190.2392430001782,0.26656799991542357,45.070695000049454,34.24226800007091,5.997286999900098,2284.104992000266,,,,,,,,,,,
9,115134,115134,398012,398012,120000,3.3156790000248293,0.0021139999262231868,4.752169999846956,1991.407796999738,142.2952510001778,2142.517210999813,0.3556689998731599,46.395583000048646,33.17436799989082,6.0593660000449745,2234.7780950003653,,,,,,,,,,,
10,115075,115075,427782,427782,120000,3.6825289998887456,0.00240400004258845,5.950497999947402,1889.919202999863,141.41907500015805,2041.2965339996845,0.28697800007648766,26.104774000032194,37.24076799971954,6.416706999971211,2118.0378750000273,,,,,,,,,,,
11,116232,116232,451791,451791,120000,3.3892589999595657,0.002153999957954511,5.967379999674449,1181.3996539999607,142.41207599980044,1333.6798350001118,0.26398399995741784,44.48378100005357,33.1305429999702,6.222174999948038,1424.2813860000751,,,,,,,,,,,
12,116073,116073,495555,495555,120000,3.351606999785872,0.0022539998099091463,4.503615999965405,1154.2265190000762,145.5994580001061,1308.5377950001202,0.2694340000743978,42.966564999915136,39.18282299991915,6.43953100006911,1403.6715650004226,,,,,,,,,,,
14,108518,108518,578260,578260,120000,2.430589000141481,0.002314000084879808,4.9420720001762675,1375.945702000081,145.55120099976193,1530.566011999781,0.2741230000538053,40.821128000061435,33.88184400000682,6.338337000215688,1618.6100770000849,,,,,,,,,,,
15,99163,99163,610752,610752,120000,1.8085309998241428,0.002235000010841759,7.698171999891201,1401.7522229996757,136.7389470001399,1550.3236039999138,0.2652869998200913,46.91775299988876,29.418476000046212,6.518059999962134,1638.0926410001848,,,,,,,,,,,
16,99075,99075,627499,627499,120000,1.8834640000022773,0.0021440000637085177,5.2099130002716265,1311.453720999907,137.26802400015004,1458.072350999828,0.31847799982642755,40.69306299970776,47.551801999816234,6.583955999758473,1557.9963639997914,,,,,,,,,,,
17,99522,99522,640264,640264,120000,4.512762999638653,0.0023540001166111324,6.344388999877992,1381.8381890000637,135.75121800022316,1527.9641460001585,0.2716080002755916,37.106948000200646,32.382851999955165,6.610546000047179,1611.7093520001617,,,,,,,,,,,
18,101255,101255,659747,659747,120000,1.8995149998772831,0.0020740003492392134,6.796010000016395,1443.010132999916,118.91730799970901,1572.746086999814,0.215881999793055,41.93427900008828,35.57405099991229,6.616606999614305,1661.63785200024,,,,,,,,,,,
19,103201,103201,698593,698593,120000,1.936324999860517,0.0021640003069478553,5.685279999852355,1675.6735120002304,137.4317869999686,1822.8782209998826,0.2756959997896047,39.26470399983373,35.60212299998966,7.0784590002404,1909.905756000171,,,,,,,,,,,
20,105220,105220,726714,726714,120000,2.3646919999009697,0.0026650000108929817,5.105704000015976,1849.5542139999088,122.28425599960246,1980.635527999766,0.43635200017888565,41.082662000007986,36.96310000032099,6.508642000426335,2070.8699709998655,,,,,,,,,,,
21,109726,109726,757827,757827,120000,3.4797200000866724,0.003777000074478565,8.89791100007642,1786.514729999908,142.4624500000391,1941.6171020002366,0.29684599985557725,21.15743600006681,41.548750000401924,6.870211000205018,2019.320780000271,,,,,,,,,,,
22,110914,110914,792865,792865,120000,3.6599939999177877,0.002465000306983711,6.460089000029257,1800.49000300005,142.44826999993165,1953.4749000004012,0.27882200038220617,33.85080800035212,38.98244199990586,6.925254999714525,2040.2592539999205,,,,,,,,,,,
