frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194117,194117,0,0,0,5.903475999957664,0.0,0.0,0.0,0.0,0.1513080001132039,0.21202299990363827,35.64219600002616,30.12610600012522,49.86378600005992,124.87844499992207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192570,192570,27638,27638,27638,17.25916099985625,0.008244999889939209,0.005009000005884445,452.64186600002176,99.67804600000818,556.6728029998558,0.24872299991329783,65.95069800005149,28.295147000108045,5.803406000040923,678.1613670000297,,,,,,,,,,,
2,190727,190727,45362,45362,45362,6.448611999985587,0.004086999979335815,0.0021140001535968622,559.6508290000202,98.64641600006507,661.8948499999533,0.22365499989973614,39.68948500005354,33.06033000012576,5.422471999963818,749.6510659998421,,,,,,,,,,,
3,175249,175249,63712,63712,63712,5.693086000064795,0.002404999804639374,0.001722999968478689,948.6237569999503,118.43559299995832,1071.1621739999373,0.22222200004762271,51.79335100001481,36.02821899994524,5.570111999986693,1173.3265329999085,,,,,,,,,,,
4,161148,161148,122551,122551,120000,4.641989999981888,0.0029860000267944997,3.0215409999527765,1318.791960999988,126.75919599996632,1452.3169910000888,0.2223930000582186,57.771627999954944,36.82052399994973,5.618765000008352,1560.183471000073,,,,,,,,,,,
5,143590,143590,161999,161999,120000,3.988597999978083,0.0024539999685657676,3.059513000152947,1454.422779999959,146.85936099999708,1608.4805479999886,0.32189200010179775,52.51882799984742,34.59611800008133,5.718374000025506,1708.2041379999282,,,,,,,,,,,
6,119612,119612,214739,214739,120000,4.391784000063126,0.0027650000902212923,3.5878969999885157,1415.0651630000084,136.98095300014757,1559.776121999903,0.29847700011487177,46.32211500006633,30.717988999867885,5.919486000038887,1649.8162940001748,,,,,,,,,,,
7,114588,114588,240646,240646,120000,4.100239999843325,0.004438999894773588,6.453199999896242,1225.1445429999421,136.99965799992242,1372.401618999902,0.290041000198471,45.279974999857586,31.862153000020044,5.903665000005276,1462.240207999912,,,,,,,,,,,
8,114987,114987,294486,294486,120000,4.8043879999113415,0.0026650000108929817,5.796682999971381,1397.6744939998298,138.11894299988126,1545.2767530000528,0.2727989999584679,57.91643199995633,34.75658199999998,6.037891000005402,1652.2729589999017,,,,,,,,,,,
9,115285,115285,328486,328486,120000,3.486064000071565,0.00250500011134136,4.583597999953781,1372.9748460000337,137.23956099988754,1519.413282999949,0.3621379999003693,44.96333199995206,31.75775399995473,5.8950790000835696,1608.9670300000307,,,,,,,,,,,
10,113979,113979,356361,356361,120000,3.689469000164536,0.003646999857664923,6.951777000040238,1161.1113339999974,137.89671799986536,1310.0375260000874,0.2800320000915235,20.22659800013571,37.84626000015123,6.25441200008936,1381.3707570000133,,,,,,,,,,,
11,114955,114955,393784,393784,120000,4.0168509999602975,0.0027549999686016236,6.63503599980686,1237.8658350000933,137.68348199982938,1386.0133270000006,0.28339899995444284,36.74159199999849,37.4818289999439,6.09562099998584,1475.0602100000378,,,,,,,,,,,
12,114678,114678,439505,439505,120000,4.188146999922537,0.004017000037492835,5.7544020000932505,1514.631677000125,138.7041999998928,1662.7952290000394,0.270152999974016,36.109150000129375,35.60892000018612,6.159602000025188,1748.099940999964,,,,,,,,,,,
13,114586,114586,473848,473848,120000,6.699538000020766,0.0025550000373186776,5.684168000016143,1507.4168569999529,136.19944100014436,1653.300425999987,0.27227700002185884,35.12019200002214,34.77934300008201,6.353621000016574,1739.5121909999034,,,,,,,,,,,
