frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194117,194117,0,0,0,5.708183000024292,0.0,0.0,0.0,0.0,0.12047099994560995,0.2031489998444158,28.720476999978928,47.52826900016771,50.40974799999276,135.6795609999608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192570,192570,27059,0,0,29.685314999824186,0.0,0.0,0.0,0.0,0.19965199999205652,6.073963000062577,71.9162640000377,26.340145999938613,5.588874000068245,143.99055300009422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,190727,190727,43505,0,0,5.576700000119672,0.0,0.0,0.0,0.0,0.10723499985942908,0.5141239998920355,39.44961399997737,32.90088099993227,5.809266000142088,87.32949299997017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,175249,175249,60542,0,0,5.337282000027699,0.0,0.0,0.0,0.0,0.10868799995478184,0.33278700016126095,73.98162899994531,41.6864970000006,5.544539000084114,129.84981800013884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,161148,161148,131350,0,0,4.846402000111993,0.0,0.0,0.0,0.0,0.12866599990957184,0.3117470000688627,66.80263900011596,36.58905500014953,5.706739000061134,117.2265420000258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,143590,143590,171963,0,0,7.265274000019417,0.0,0.0,0.0,0.0,0.08327999989887758,0.3083299998252187,50.34996999984287,42.235870000013165,5.868909999890093,108.67763900000682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,119612,119612,200685,0,0,3.5251110000444896,0.0,0.0,0.0,0.0,0.06709900003443181,0.2807079999911366,45.84349900005691,35.68487400002596,5.56767300008687,93.38106299992432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,114588,114588,220283,0,0,5.997535999995307,0.0,0.0,0.0,0.0,0.10114300016539346,0.4411550000895659,67.57999799992831,36.31366800004798,5.870923999964361,118.98292499995478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,114987,114987,294600,0,0,3.825918000075035,0.0,0.0,0.0,0.0,0.09785799989003863,0.4211169998598052,78.90315500003453,45.24487300000146,5.9580710001228,136.96207899988622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,115285,115285,353184,0,0,4.466515000103755,0.0,0.0,0.0,0.0,0.07718799997746828,0.3860990000248421,52.67134499990789,39.4433389999449,6.007604999922478,105.49054100010835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,113979,113979,388995,0,0,4.884583999910319,0.0,0.0,0.0,0.0,0.07072499988680647,0.2847649998329871,22.983525999961785,55.50744400011354,6.077237999988938,92.36612299991975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,114955,114955,446686,0,0,6.270498000048974,0.0,0.0,0.0,0.0,0.07104600013008167,0.30402199990930967,83.93000699993536,34.35103700007858,6.226204000086,133.51048900017304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
