frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194117,194117,0,0,0,5.6014279998635175,0.0,0.0,0.0,0.0,0.09543200008010899,0.20382000002427958,26.02429800003847,20.888942000055977,56.69524900008582,112.98763900003905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192570,192570,27638,0,0,13.941509999995105,0.0,0.0,0.0,0.0,0.16203899986066972,0.676763999990726,48.15032500005145,32.20743799988668,5.706479000082254,105.04695999998148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,190727,190727,61046,0,0,6.306596000058562,0.0,0.0,0.0,0.0,0.14334400020743487,0.4121679999116168,40.05505999998604,35.68599699997321,5.572010999912891,91.07701400012047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,175249,175249,100476,0,0,6.387399999994159,0.0,0.0,0.0,0.0,0.09279699997932767,0.30940099986764835,62.907084000016766,50.973472000123365,5.655810999996902,129.39821999998458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,161148,161148,181421,0,0,4.696267000099397,0.0,0.0,0.0,0.0,0.08363000006283983,0.3025480000360403,65.53536799992798,50.14296399986051,6.883338000079675,130.47420699990653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,143590,143590,272056,0,0,6.726958999934141,0.0,0.0,0.0,0.0,0.09782699999050237,0.3324859999338514,72.00883299992711,41.11826300004395,6.482933000143021,129.48845200003234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,119612,119612,367285,0,0,3.483177999896725,0.0,0.0,0.0,0.0,0.06235899991224869,0.28642799998124246,46.75813400012885,52.5356279999869,6.34284500006288,111.86778899991623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,114588,114588,464256,0,0,3.2779260000097565,0.0,0.0,0.0,0.0,0.0670079998599249,0.28627699998651224,53.48421199983022,45.83398699992358,6.367482000086966,111.68055000007371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,114987,114987,548529,0,0,3.259951000018191,0.0,0.0,0.0,0.0,0.06811999992351048,0.2915580000717455,85.85250500004804,56.90756199987845,6.650291999903857,155.40225300014754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,115285,115285,640776,0,0,3.2375590001265664,0.0,0.0,0.0,0.0,0.06547499992848316,0.33502099995530443,59.44171700002698,45.74459399987063,7.262312999955611,118.43910400011737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,113979,113979,731702,0,0,3.2871240000531543,0.0,0.0,0.0,0.0,0.07134599991331925,0.2999139999246836,23.073696999972526,64.24600999980612,7.304083000008177,100.88029999997161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,114955,114955,808142,0,0,3.35130600001321,0.0,0.0,0.0,0.0,0.06851099988125497,0.3064359998461441,44.12900499983152,58.201675999953295,7.366440999931001,115.86176699984208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12,114678,114678,896445,0,0,3.4910340000351425,0.0,0.0,0.0,0.0,0.0647839999601274,0.31310899998970854,62.323435000052996,50.22089099998084,8.460802999934458,127.24886499995591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,114586,114586,975414,0,0,3.4054100001412735,0.0,0.0,0.0,0.0,0.06990399992901075,0.31829800013838394,61.39154400011648,47.15877700004967,8.157864999930098,123.05339399995319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
14,114811,114811,1048890,0,0,3.5494450000896904,0.0,0.0,0.0,0.0,0.13656100009029615,0.49594799997976224,59.09752799993839,47.82125400015502,8.028377000073306,121.59607899980074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15,115008,115008,1117732,0,0,3.3607540001412417,0.0,0.0,0.0,0.0,0.08287799983008881,0.30058500010454736,53.51718199995048,52.08809900000233,8.042392999868753,119.90725999999086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
16,114908,114908,1196602,0,0,3.315848000056576,0.0,0.0,0.0,0.0,0.06241900018721935,0.2712990001327853,79.5494310000322,93.36300400013897,7.889129999966826,186.82612300017354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,114629,114629,1268973,0,0,3.368419000025824,0.0,0.0,0.0,0.0,0.0667169999815087,0.2763980000963784,56.96965799984355,47.972671000025,8.743283000058,119.72706999995353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
