frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194361,194361,0,0,0,5.748320000066087,0.0,0.0,0.0,0.0,0.10166300000946649,0.20299699997394782,33.377183999959925,31.587123999997857,48.22775399998136,122.19352100009928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192674,192674,26632,26632,26632,14.660727999967094,0.007274000040524697,0.006343000109154673,455.61190399996576,93.21396699999696,552.4941289999106,0.24695000001884182,50.6034869999894,28.96130900001026,5.110675999958403,656.0043199999654,,,,,,,,,,,
2,188256,188256,44839,44839,44839,5.423751999956039,0.0018239999235447613,0.0013620000345326844,548.9794229999916,102.6965520001113,655.9072459999697,0.2376130000811827,39.38328999993246,39.202715999977045,5.012137999983679,747.98333800004,,,,,,,,,,,
3,175556,175556,81173,81173,81173,5.101837999973213,0.0025150000055873534,0.0012420000530255493,1040.9230580000894,115.61333700001342,1160.4632160000392,0.2391049999914685,49.773155999901064,37.45755800002826,5.112939000014194,1260.89672899991,,,,,,,,,,,
4,159395,159395,122469,122469,120000,7.729803999950491,0.002454999957990367,3.011586000070565,1179.8119790000783,123.7011910000092,1310.5417370001078,0.23087900001428352,54.58462200010672,39.53224300005331,5.081057000097644,1420.3722919999109,,,,,,,,,,,
5,134699,134699,159637,159637,120000,5.0777299999253955,0.002605000076982833,3.8007790000165187,1228.0359150000777,136.52807100004338,1372.3373020000054,0.27568500001962093,45.91375400002562,37.15979100002187,5.193931999997403,1469.6019740000565,,,,,,,,,,,
6,123806,123806,189919,189919,120000,6.621630999916306,0.002253999923595984,3.2575339999993957,1198.7719939999124,135.52244499999233,1341.5462100000468,0.27864999992743833,46.018349999940256,35.15696200008733,5.189273000041794,1437.2631249999586,,,,,,,,,,,
7,113812,113812,213969,213969,120000,7.155957000009039,0.002273999939461646,4.962821000049189,1132.7842360000204,132.6372180000135,1274.4631529999424,0.2873679999311207,44.698929000105636,34.466373999975985,5.270255999903384,1368.9708330000485,,,,,,,,,,,
8,114628,114628,250499,250499,120000,3.4546790000149485,0.0018030000319413375,4.18900699992264,1180.1718010000286,136.93288800004666,1325.3667120000046,0.2581019999752243,54.15446099993915,33.18719499998224,5.3622709999672225,1425.025063000021,,,,,,,,,,,
9,115038,115038,306574,306574,120000,4.3493929999840475,0.002934999997705745,6.040712999947573,1380.2999939999836,135.98291700009213,1526.359790000015,0.3403080000907721,41.505658000005496,43.590778999941904,5.537964000041029,1624.6519540000008,,,,,,,,,,,
10,115031,115031,340986,340986,120000,3.659677999962696,0.0019840000504700583,5.616133000103218,1463.8395419999597,137.16179499999726,1610.5192100000068,0.2754339999455624,23.710051000080057,42.883515999960764,5.796745999987252,1689.8358009999583,,,,,,,,,,,
11,115152,115152,365420,365420,120000,5.058401000042068,0.0031859999580774456,5.847131999985322,1180.5488870001,136.78861900007178,1327.0854559999634,0.2777889999379113,34.512435000010555,38.94555500005481,5.565735999994104,1414.5566849999796,,,,,,,,,,,
12,115201,115201,393631,393631,120000,3.7080800000239833,0.0030559999686374795,8.298959999933686,1514.4522320000533,137.4065249999603,1664.0103710000176,0.2772980000145253,41.77125799992609,37.86407099994449,5.561716999977762,1757.5186609999491,,,,,,,,,,,
13,115275,115275,418080,418080,120000,4.7178810000332305,0.0018230000478069996,6.679586000018389,1193.1718950000914,137.79750000003332,1341.687749000016,0.276064999980008,36.773462000041945,37.60717800003022,5.542570999978125,1429.5622849999745,,,,,,,,,,,
14,115190,115190,437616,437616,120000,6.886359000077391,0.00240400004258845,6.050777999917045,1119.1450129999794,138.34180200001356,1270.0065069999482,0.27892100001736253,34.914888000002975,38.165806000051816,5.651416999967296,1358.8682810000137,,,,,,,,,,,
15,115265,115265,455621,455621,120000,3.554656000005707,0.001944000018738734,4.314131999990423,965.9613710000485,139.50255400004608,1114.0095910000127,0.26756900001601025,35.428132999982154,39.35690100001921,5.552158000000418,1201.2022510000406,,,,,,,,,,,
16,115331,115331,475682,475682,120000,3.4274739999773374,0.001814000029298768,6.50548200007961,824.9483969999574,140.96018899999763,976.1802650000391,0.27113599992389936,35.125284000059764,41.818643000056,5.661875999976473,1065.4497219999257,,,,,,,,,,,
20,121020,121020,501559,501559,120000,4.465236999976696,0.0020340000901342137,4.74767499997597,841.8170930000315,141.50605700001506,992.1622619999653,0.2955720000272777,48.00620599996819,39.80169199996908,5.672284000070249,1094.864525999924,,,,,,,,,,,
21,119213,119213,519548,519548,120000,3.413686000044436,0.0018330000557398307,5.415576000018518,932.3689829999466,140.66537799999423,1082.5900150000507,0.28261800002837845,39.815737000026274,42.71635699990384,5.77285600002142,1177.551812000047,,,,,,,,,,,
22,115909,115909,554597,554597,120000,3.9914249999810636,0.0021839999817530042,6.066905000011502,952.2194280000349,140.28634600003898,1102.7157339999576,0.4416699999865159,39.23619099998632,41.993859000058364,5.809906000081355,1197.144470000012,,,,,,,,,,,
23,116015,116015,586893,586893,120000,4.030048999993596,0.0020530000028884388,4.876730000091811,1125.8243409999977,140.39427299996987,1274.8630119999689,0.2993100000594495,25.254172000018116,43.520037000007505,6.115556000054312,1357.0938159999741,,,,,,,,,,,
26,115941,115941,595657,595657,120000,3.9510970000264933,0.002283999947394477,4.949366999994709,1078.8559910000686,140.47004700000798,1228.4848930000862,0.30080199996973533,45.24458599996706,39.31456400005118,5.950230000053125,1327.6473969999643,,,,,,,,,,,
27,115751,115751,622839,622839,120000,6.516077000014775,0.0021140000399100245,6.360549999953946,1164.4934599999033,139.63522200003808,1314.6034789999703,0.27562499997202394,42.1932790000028,35.92456299998048,5.864345999953002,1408.344833000001,,,,,,,,,,,
28,115575,115575,628772,628772,120000,3.0216279999422113,0.002043999984380207,4.58374000004369,1190.5585920000021,140.54764899992733,1339.638963000084,0.30962900007125427,41.18969699993613,58.06866600005378,6.138407999969786,1451.3098290000244,,,,,,,,,,,
29,115693,115693,662311,662311,120000,4.005118999998558,0.002053999992313038,7.26008100002673,1337.3688069999616,141.1202400000775,1489.6325150000393,0.30950900008974713,40.11649000005946,37.84456800008229,6.104062000076738,1580.9610519999069,,,,,,,,,,,
30,115897,115897,683539,683539,120000,3.3186629999590878,0.0020940000240443624,7.069758000056936,1249.0966980000167,145.11181299997133,1405.371726999988,0.31019000005017006,56.48668300000281,38.2068620000382,6.303238999976202,1513.2213969999384,,,,,,,,,,,
