frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,192786,192786,0,0,0,5.809028999919974,0.0,0.0,0.0,0.0,0.13003999993088655,0.25835600035861717,33.08202500011248,29.51296499986711,49.34417599997687,121.15681499972197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,190948,190948,34854,0,0,13.740251999934117,0.0,0.0,0.0,0.0,0.17507599977761856,0.5083050000393996,70.23994100018172,29.364277999775368,5.5272790000344685,123.56007800008229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,187120,187120,71695,0,0,6.998822999776166,0.0,0.0,0.0,0.0,0.10963100021399441,0.3292820001661312,46.70897799996965,39.383859999816195,5.558598999868991,101.97724399995423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,177130,177130,117765,0,0,5.100448999655782,0.0,0.0,0.0,0.0,0.08853000008457457,0.27883500024472596,67.41504899991924,48.457814999892435,5.614746999981435,130.05440300003102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,139893,139893,174614,0,0,9.691951000149857,0.0,0.0,0.0,0.0,0.0924380001379177,0.36443999988478026,76.2109109996345,44.80423299992253,5.70912800003498,139.4464190002509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,128673,128673,253128,0,0,4.359777999979997,0.0,0.0,0.0,0.0,0.06972399978621979,0.2727740002228529,73.0397349998384,44.86282499965455,5.967213000076299,131.05353999981162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,122413,122413,319738,0,0,6.186314000387938,0.0,0.0,0.0,0.0,0.10775600003398722,0.3768639999179868,55.706507000195415,42.28108000006614,6.132990999958565,113.27463699990403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,113968,113968,420039,0,0,3.267120000145951,0.0,0.0,0.0,0.0,0.07516400000895374,0.28328300004432094,52.833613000075275,37.479192999853694,6.353313999625243,102.64054500021302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,115096,115096,490316,0,0,6.176844000037818,0.0,0.0,0.0,0.0,0.0841410001157783,0.32527399980608607,59.877991000121256,39.57440400017731,6.361429000207863,114.81693299992912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,115134,115134,565259,0,0,3.34800600012386,0.0,0.0,0.0,0.0,0.07312099978662445,0.4175819999545638,86.38735899967287,57.9063270001825,6.454687999848829,156.94768399998793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
