frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194117,194117,0,0,0,5.590477999930954,0.0,0.0,0.0,0.0,0.09903900013341627,0.200925000171992,25.25043600007848,21.832184999993842,55.7627800001228,111.66935599999306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192570,192570,27149,0,0,12.962823999941975,0.0,0.0,0.0,0.0,0.14823299989075167,0.5460049999328476,53.37996799994471,29.211614000132613,5.792903999918053,106.09965399999055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,190727,190727,55713,0,0,7.133389000046009,0.0,0.0,0.0,0.0,0.11194400008207595,0.35796499992102326,39.07686000002286,34.480003999988185,5.443235999791796,89.483097999846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,175249,175249,84194,0,0,5.626947000109794,0.0,0.0,0.0,0.0,0.0923869999951421,0.32881900006032083,56.279496000115614,57.14395999984845,5.623519999971904,127.90071699987493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,161148,161148,159701,0,0,4.850592000138931,0.0,0.0,0.0,0.0,0.10920799991254171,0.32532299997001246,61.32186400009232,52.192464999961885,5.782143000033102,127.35867000014878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,143590,143590,232880,0,0,4.2153449999204895,0.0,0.0,0.0,0.0,0.09276800005864061,0.28073699991182366,54.28518999997323,39.73381700006939,5.845735000093555,107.12701800002833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,119612,119612,301204,0,0,3.8096690000202216,0.0,0.0,0.0,0.0,0.06879099987600057,0.280767000049309,80.0020469998799,56.08386099993368,6.532128000117154,149.18743700013692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,114588,114588,378531,0,0,3.4545900000466645,0.0,0.0,0.0,0.0,0.06878199997117918,0.283422000165956,56.82099199998447,39.66581800000313,6.474016999845844,109.14650199993048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,114987,114987,447247,0,0,3.5901999999623513,0.0,0.0,0.0,0.0,0.06636700004492013,0.2853060000234109,68.59101300005932,38.8128649999544,7.600583000112238,121.33686799984389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,115285,115285,520505,0,0,3.5700009998436144,0.0,0.0,0.0,0.0,0.08020299992494984,0.3788550000081159,48.670456000081685,49.14841899994826,6.567305999851669,111.02698700005931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
