frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194361,194361,0,0,0,5.473182999992332,0.0,0.0,0.0,0.0,0.09550900000476759,0.21506600000975595,27.972945999977128,25.21802300000786,43.703539999995655,105.59640400001058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192674,192674,26429,0,0,14.099807999997438,0.0,0.0,0.0,0.0,0.15507699998806856,0.5701190000024781,64.95539400000894,26.03176300002019,4.995656999994935,114.6336400000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,188256,188256,45844,0,0,5.354678000003332,0.0,0.0,0.0,0.0,0.10322399998585752,0.3169379999974353,42.33311899997716,36.60984000001122,5.004205000005868,92.77350299998943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,175556,175556,95398,0,0,5.8074340000189295,0.0,0.0,0.0,0.0,0.09055999998963671,0.27949299999363575,47.42044800002532,48.61084399999527,5.041167999991103,109.9976550000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,159395,159395,140777,0,0,4.690603999989662,0.0,0.0,0.0,0.0,0.10993699999062301,0.265506000005189,57.92046499999515,49.90886699999919,5.257612999997718,120.8271939999861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,134699,134699,185121,0,0,3.7182260000179213,0.0,0.0,0.0,0.0,0.09438600000066799,0.31293800000753436,48.15406500000563,37.08932500001083,5.1537079999945945,97.09343899999112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,123806,123806,221483,0,0,3.886848999997028,0.0,0.0,0.0,0.0,0.0743060000161222,0.291363999991745,47.57929000001582,50.274889999997185,5.849170000004733,110.4267550000202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,113812,113812,247495,0,0,3.2641399999988607,0.0,0.0,0.0,0.0,0.06647099999668171,0.2809140000010757,47.25652399997671,68.28521200000637,5.6464600000083465,127.14909700000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,114628,114628,316497,0,0,3.2606929999872136,0.0,0.0,0.0,0.0,0.06032899997876484,0.2895609999882254,63.47319899998638,37.89173800001322,5.59460799999556,112.93149599998742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,115038,115038,382637,0,0,3.8722200000052,0.0,0.0,0.0,0.0,0.05883700001163561,0.30263700000432436,48.41215400000465,42.11286599999653,5.770716000000675,102.87613799999917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,115031,115031,430404,0,0,3.2718250000129956,0.0,0.0,0.0,0.0,0.06120000000464643,0.2436709999926734,20.822030999994467,54.38885600000276,5.696548999992501,86.95528799998442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,115152,115152,468229,0,0,3.6631769999928565,0.0,0.0,0.0,0.0,0.07377500000416148,0.2677580000067792,36.27536900000905,44.13956499999472,6.016299999998864,92.7848890000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12,115201,115201,508195,0,0,3.5014779999755774,0.0,0.0,0.0,0.0,0.09226200000966855,0.3638680000221939,36.97310600000492,38.22727000002146,5.849591000014698,87.43638699999678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,115275,115275,538314,0,0,3.3166839999978492,0.0,0.0,0.0,0.0,0.08043899998710913,0.26356000000760105,41.66253700000766,40.29186800002549,6.080160000010437,94.10358899998528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
14,115190,115190,561576,0,0,3.2758330000035585,0.0,0.0,0.0,0.0,0.06835499999624517,0.29534999998759304,47.55978000000027,46.30293799999663,5.991345000012416,105.88697099998967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15,115265,115265,581452,0,0,3.285763000008046,0.0,0.0,0.0,0.0,0.07197099998279555,0.271424000004572,34.603175000000874,45.85688000000232,14.966309000016054,101.46791799999733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
16,115331,115331,614636,0,0,6.698585999998841,0.0,0.0,0.0,0.0,0.0676629999816214,0.27017200000045705,75.52170200000319,63.95917799997619,6.115549000014653,154.99819199999365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,113110,113110,645599,0,0,3.191396999994822,0.0,0.0,0.0,0.0,0.07419600001412618,0.2718050000112271,48.03937299999461,42.65311899999347,6.336342999986755,102.95693700001607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18,113150,113150,721879,0,0,3.2211360000076183,0.0,0.0,0.0,0.0,0.06409599998846716,0.24841799998398528,40.341482000002316,43.12219199999845,6.566526999989719,95.89132900001118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
19,120869,120869,788664,0,0,3.4079229999974814,0.0,0.0,0.0,0.0,0.0636549999910585,0.3801670000029844,35.118949000008115,45.168917999973246,16.28861999998321,102.84169100000895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20,121020,121020,831329,0,0,7.4800330000073245,0.0,0.0,0.0,0.0,0.07997799997383481,0.31160300000010466,20.640520000000606,40.22079499998199,6.797812000002068,77.96505799998954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
21,119213,119213,857047,0,0,3.928267000020469,0.0,0.0,0.0,0.0,0.07159099999398677,0.2753610000070239,48.30782199999817,48.51695299998937,6.799394000012171,110.79533500000593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
