frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194361,194361,0,0,0,5.396089000015536,0.0,0.0,0.0,0.0,0.09416799997552516,0.20115000000942018,27.5140370000031,22.271176000003834,47.29930799999238,105.70364500000551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192674,192674,26632,0,0,13.261051000000634,0.0,0.0,0.0,0.0,0.1575180000088494,0.775143999987904,51.52518699998154,29.240375999989965,5.207855000008976,104.16730400001484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,188256,188256,57115,0,0,5.2798010000003615,0.0,0.0,0.0,0.0,0.09679199999368393,0.3283199999941644,45.695979999976544,35.516196999992644,5.078720999989628,94.86298400000237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,175556,175556,102515,0,0,4.9741029999950115,0.0,0.0,0.0,0.0,0.0876360000177101,0.3148849999945469,51.11624499997447,53.37887799998953,5.305990000010752,117.94892800000412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,159395,159395,163371,0,0,8.93809800001577,0.0,0.0,0.0,0.0,0.11913500000559907,0.3457230000094569,72.62195500001667,45.219139000010955,5.407141000006277,135.3693249999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,134699,134699,232959,0,0,3.925883000022168,0.0,0.0,0.0,0.0,0.08076299999970615,0.28895500000203356,49.62450799999374,39.80700900001466,5.450231999986954,101.64800699999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,123806,123806,301264,0,0,3.607563000002756,0.0,0.0,0.0,0.0,0.06405099998119113,0.27431800000954354,88.05902100002072,46.682197999984965,6.501546000009739,147.61244299998566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,113812,113812,373925,0,0,3.543229000001702,0.0,0.0,0.0,0.0,0.09008000000676475,0.407299000016792,52.24463100000776,37.50275699999861,7.1793350000177725,103.38438599998767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,114628,114628,436394,0,0,3.525306000000228,0.0,0.0,0.0,0.0,0.11716099999148355,0.3848769999876822,50.56740399999171,48.682474999992564,5.842670999982147,111.80530600000793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,115038,115038,515430,0,0,4.768513000016128,0.0,0.0,0.0,0.0,0.08188500001438115,0.49947299999075767,60.85248300001922,46.27081199998884,6.094646999997622,120.98592899999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,115031,115031,582046,0,0,3.6092050000036124,0.0,0.0,0.0,0.0,0.09730399997920358,0.3990130000204317,25.934035000005906,67.63058000001365,7.794305999993867,108.1574680000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,115152,115152,634885,0,0,3.2476819999942563,0.0,0.0,0.0,0.0,0.06844000000683081,0.2680460000021867,51.61309900000788,55.19869900001595,8.060648999986597,120.81772199999818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12,115201,115201,695343,0,0,3.465253000001667,0.0,0.0,0.0,0.0,0.06894099999499304,0.27734400001122594,54.20474199999603,48.55359199999043,6.182012000010673,115.29556599998614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,115275,115275,753064,0,0,6.340832000006458,0.0,0.0,0.0,0.0,0.08838600001581653,0.40346200000840327,69.68503000001647,33.710065999997596,6.424089999995886,119.05446200000824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
14,115190,115190,803189,0,0,3.7526650000074824,0.0,0.0,0.0,0.0,0.06357999998840569,0.29587899999228284,52.936717999983784,46.009564999991426,6.5007419999858485,111.8975349999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15,115265,115265,844403,0,0,3.492381999990357,0.0,0.0,0.0,0.0,0.07064400000444948,0.31350100002214276,45.75125900001353,53.06195899999011,6.553591999988839,111.5989349999893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
16,115331,115331,904084,0,0,3.311491999994587,0.0,0.0,0.0,0.0,0.07081299997935275,0.2739580000081787,45.97009199997615,58.194288999999344,8.264200999974491,118.45499799997583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,113110,113110,957238,0,0,4.672400000004018,0.0,0.0,0.0,0.0,0.07187500000327418,0.313943000008976,51.734394000021666,54.79998999999225,7.398386999994955,121.37743499999942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18,113150,113150,1023700,0,0,3.245797999994693,0.0,0.0,0.0,0.0,0.060744999984763126,0.27382700000089244,81.84632799998326,42.35049899997989,7.276345999997602,137.46796999998878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
