frame               before_ts                lidar_ts                after_ts    bracket_ms    t_interp
------------------------------------------------------------------------------------------------------------------------
00000     1771724034509771264     1771724034377768448     1771724034563772416       +54.001     -2.4444
00001     1771724034794777344     1771724034752776448     1771724034839778304       +45.001     -0.9333
00002     1771724035049782784     1771724034938780416     1771724035094783744       +45.001     -2.4667
00003     1771724035304788224     1771724035127784448     1771724035343789056       +39.001     -4.5385
00004     1771724035562793728     1771724035502792448     1771724035601794560       +39.001     -1.5385
00005     1771724035820799232     1771724035688796416     1771724035862800128       +42.001     -3.1429
00006     1771724036063804416     1771724036063804416     1771724036105805312       +42.001      0.0000
00007     1771724036327810048     1771724036252808448     1771724036366810880       +39.001     -1.9231
00008     1771724036579815424     1771724036438812416     1771724036618816256       +39.001     -3.6154
00009     1771724036873821696     1771724036813820416     1771724036912822528       +39.001     -1.5385
00010     1771724037173828096     1771724037002824448     1771724037209828864       +36.001     -4.7500
00011     1771724037455834112     1771724037377832448     1771724037494834944       +39.001     -2.0000
00012     1771724037749840384     1771724037563836416     1771724037782841088       +33.001     -5.6364
00013     1771724038025846272     1771724037938844416     1771724038064847104       +39.001     -2.2308
00014     1771724038313852416     1771724038127848448     1771724038352853248       +39.001     -4.7692
00015     1771724038610858752     1771724038502856448     1771724038649859584       +39.001     -2.7692
00016     1771724038901864960     1771724038877864448     1771724038940865792       +39.001     -0.6154
00017     1771724039198871296     1771724039063868416     1771724039246872320       +48.001     -2.8125
